Data,Numar someri,Timp,Diferenta somaj
2000-04-01,769228,1,-105114.0
2000-07-01,721552,2,-47676.0
2000-10-01,736738,3,15186.0
2001-01-01,806838,4,70100.0
2001-04-01,718051,5,-88787.0
2001-07-01,634689,6,-83362.0
2001-10-01,685616,7,50927.0
2002-01-01,988450,8,302834.0
2002-04-01,824757,9,-163693.0
2002-07-01,777651,10,-47106.0
2002-10-01,790232,11,12581.0
2003-01-01,778803,12,-11429.0
2003-04-01,699684,13,-79119.0
2003-07-01,637699,14,-61985.0
2003-10-01,650836,15,13137.0
2004-01-01,838034,16,187198.0
2004-04-01,771518,17,-66516.0
2004-07-01,768568,18,-2950.0
2004-10-01,793785,19,25217.0
2005-01-01,838022,20,44237.0
2005-04-01,711234,21,-126788.0
2005-07-01,597281,22,-113953.0
2005-10-01,655718,23,58437.0
2006-01-01,755477,24,99759.0
2006-04-01,691567,25,-63910.0
2006-07-01,728944,26,37377.0
2006-10-01,699034,27,-29910.0
2007-01-01,705224,28,6190.0
2007-04-01,651782,29,-53442.0
2007-07-01,599134,30,-52648.0
2007-10-01,581155,31,-17979.0
2008-01-01,592322,32,11167.0
2008-04-01,543988,33,-48334.0
2008-07-01,513959,34,-30029.0
2008-10-01,547213,35,33254.0
2009-01-01,622357,36,75144.0
2009-04-01,582295,37,-40062.0
2009-07-01,631449,38,49154.0
2009-10-01,660041,39,28592.0
2010-01-01,711354,40,51313.0
2010-04-01,628674,41,-82680.0
2010-07-01,629613,42,939.0
2010-10-01,637137,43,7524.0
2011-01-01,668371,44,31234.0
2011-04-01,641704,45,-26667.0
2011-07-01,650483,46,8779.0
2011-10-01,677145,47,26662.0
2012-01-01,662111,48,-15034.0
2012-04-01,620677,49,-41434.0
2012-07-01,616544,50,-4133.0
2012-10-01,609504,51,-7040.0
2013-01-01,655171,52,45667.0
2013-04-01,677983,53,22812.0
2013-07-01,630394,54,-47589.0
2013-10-01,648390,55,17996.0
2014-01-01,656487,56,8097.0
2014-04-01,624296,57,-32191.0
2014-07-01,615582,58,-8714.0
2014-10-01,618362,59,2780.0
2015-01-01,654750,60,36388.0
2015-04-01,625246,61,-29504.0
2015-07-01,613376,62,-11870.0
2015-10-01,602269,63,-11107.0
2016-01-01,584562,64,-17707.0
2016-04-01,530469,65,-54093.0
2016-07-01,519241,66,-11228.0
2016-10-01,485205,67,-34036.0
2017-01-01,480856,68,-4349.0
2017-04-01,451164,69,-29692.0
2017-07-01,440442,70,-10722.0
2017-10-01,424862,71,-15580.0
2018-01-01,413804,72,-11058.0
2018-04-01,379699,73,-34105.0
2018-07-01,356772,74,-22927.0
2018-10-01,368438,75,11666.0
2019-01-01,363898,76,-4540.0
2019-04-01,344707,77,-19191.0
2019-07-01,350457,78,5750.0
2019-10-01,354419,79,3962.0
2020-01-01,382363,80,27944.0
2020-04-01,482166,81,99803.0
2020-07-01,472487,82,-9679.0
2020-10-01,470039,83,-2448.0
2021-01-01,496036,84,25997.0
2021-04-01,418119,85,-77917.0
2021-07-01,436258,86,18139.0
2021-10-01,486366,87,50108.0
2022-01-01,494223,88,7857.0
2022-04-01,439674,89,-54549.0
2022-07-01,445472,90,5798.0
2022-10-01,478073,91,32601.0
2023-01-01,471805,92,-6268.0
2023-04-01,437414,93,-34391.0
2023-07-01,437607,94,193.0
2023-10-01,475517,95,37910.0
2024-01-01,443737,96,-31780.0
2024-04-01,421144,97,-22593.0
2024-07-01,460408,98,39264.0
2024-10-01,478545,99,18137.0
